plot_id,census_tree_id,census_stem_id,census_species,census_x_rot_m,census_y_rot_m,census_dbh_m,t2t_matches,t2t_tree_id,rct_matches,rct_tile,rct_tree_id,t2t_tree_id_best,t2t_dbh_best,rct_tile_best,rct_tree_id_best,rct_dbh_best
P09,30,30,Julbernardia paniculata,52.58412605726951,42.32241672377947,0.298,3,"['0129_T1', '0145_T1', '0145_T0']",2,"['Tile_1_1', 'Tile_1_1']","[58, 66]",0145_T1,0.296,Tile_1_1,58,0.259
P09,31,31,Julbernardia paniculata,55.07586001971238,41.43875283948364,0.23399999999999999,3,"['0129_T1', '0145_T1', '0145_T0']",2,"['Tile_1_1', 'Tile_1_1']","[58, 66]",0145_T0,0.214,Tile_1_1,66,0.212
P09,32,32,Julbernardia paniculata,59.44282138548267,49.65715587352072,0.293,2,"['0146_T0', '0159_T0']",1,['Tile_1_1'],[69],0146_T0,0.298,,,
P09,33,33,Baikiaea plurijuga,56.67480092264489,54.65841198746963,0.39399999999999996,1,['0159_T0'],1,['Tile_1_1'],[69],0159_T0,0.388,Tile_1_1,69,0.366
P09,34,34,Baikiaea plurijuga,52.39106443384711,58.78268182521576,0.261,0,[],1,['Tile_1_1'],[57],,,Tile_1_1,57,0.166
P09,35,35,Julbernardia paniculata,53.23556901047824,67.8742390086717,0.29,1,['0172_T0'],2,"['Tile_1_1', 'Tile_1_1']","[62, 65]",0172_T0,0.365,Tile_1_1,62,0.27
P09,36,36,Baphia massaiensis subsp. obovata,65.81620601611853,58.63045339171181,0.079,1,['0173_T1'],2,"['Tile_1_1', 'Tile_1_1']","[79, 82]",,,Tile_1_1,82,0.048
P09,36,37,Baphia massaiensis subsp. obovata,65.72819651742131,58.84105806435481,0.069,1,['0173_T1'],3,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[76, 79, 82]",0173_T1,0.072,Tile_1_1,79,0.064
P09,38,38,Baikiaea plurijuga,66.5670915347141,60.53774753210115,0.23800000000000002,1,['0161_T2'],4,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[85, 93, 97, 208]",,,Tile_1_1,208,0.172
P09,38,39,Baikiaea plurijuga,66.45956366714518,61.04503222307464,0.295,0,[],3,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[85, 93, 208]",,,Tile_1_1,93,0.221
P09,40,40,Julbernardia paniculata,72.35430413478639,63.153215047014,0.257,0,[],5,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_2_1']","[93, 96, 101, 208, 4]",,,Tile_1_1,101,0.212
P09,41,41,Baikiaea plurijuga,69.34630398180191,66.76076755247327,0.35,0,[],1,['Tile_1_1'],[101],,,,,
P09,42,42,Julbernardia paniculata,60.040609407614895,67.67342767099855,0.317,0,[],2,"['Tile_1_1', 'Tile_1_1']","[65, 77]",,,Tile_1_1,77,0.292
P09,43,43,Baphia massaiensis subsp. obovata,73.31715476736811,67.01324337065842,0.166,0,[],4,"['Tile_1_1', 'Tile_1_1', 'Tile_2_1', 'Tile_2_1']","[96, 101, 3, 4]",,,Tile_2_1,4,0.154
P09,44,46,Julbernardia paniculata,62.62861298101013,79.51822135869499,0.198,0,[],2,"['Tile_1_2', 'Tile_1_2']","[21, 24]",,,Tile_1_2,21,0.168
P09,44,44,Julbernardia paniculata,63.59455423474356,80.41094611713733,0.28600000000000003,2,"['0183_T0', '0183_T1']",2,"['Tile_1_2', 'Tile_1_2']","[21, 24]",0183_T1,0.306,Tile_1_2,24,0.2
P09,47,47,Baikiaea plurijuga,79.22103548373425,65.03749225097756,0.267,2,"['0175_T3', '0175_T1']",3,"['Tile_2_1', 'Tile_2_1', 'Tile_2_1']","[4, 14, 151]",0175_T3,0.259,Tile_2_1,151,0.185
P09,47,48,Baikiaea plurijuga,79.82045419277736,65.14838504266889,0.342,3,"['0175_T3', '0175_T1', '0175_T0']",3,"['Tile_2_1', 'Tile_2_1', 'Tile_2_1']","[14, 28, 151]",0175_T1,0.348,Tile_2_1,14,0.289
P09,49,49,Baikiaea plurijuga,81.74527126406804,67.24616464073634,0.256,3,"['0175_T3', '0175_T1', '0175_T0']",3,"['Tile_2_1', 'Tile_2_1', 'Tile_2_1']","[14, 28, 151]",0175_T0,0.281,Tile_2_1,28,0.227
P09,50,50,Baikiaea plurijuga,82.73050882385421,60.77532180917362,0.386,4,"['0175_T3', '0175_T1', '0162_T0', '0175_T0']",3,"['Tile_2_1', 'Tile_2_1', 'Tile_2_1']","[14, 28, 30]",0162_T0,0.426,Tile_2_1,30,0.358
P09,51,51,Baikiaea plurijuga,94.43864679502208,56.69861906699374,0.315,3,"['0163_T1', '0163_T2', '0163_T0']",2,"['Tile_2_1', 'Tile_2_1']","[48, 182]",0163_T0,0.314,Tile_2_1,48,0.23
P09,51,52,Baikiaea plurijuga,94.03392648241676,56.18999202429484,0.261,3,"['0163_T1', '0163_T2', '0163_T0']",2,"['Tile_2_1', 'Tile_2_1']","[48, 182]",0163_T1,0.244,Tile_2_1,182,0.208
P09,53,53,Indet indet,83.02915714572845,54.08403574595367,0.214,0,[],2,"['Tile_2_1', 'Tile_2_1']","[18, 40]",,,Tile_2_1,18,0.282
P09,54,54,Baikiaea plurijuga,79.88819274346027,54.794206587149056,0.376,2,"['0162_T1', '0162_T0']",3,"['Tile_2_1', 'Tile_2_1', 'Tile_2_1']","[2, 18, 30]",0162_T1,0.333,Tile_2_1,18,0.282
P09,59,59,Baikiaea plurijuga,69.49229284674618,56.34432443347566,0.166,2,"['0161_T2', '0161_T3']",4,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[93, 97, 208, 210]",0161_T2,0.147,Tile_1_1,97,0.139
P09,59,60,Baikiaea plurijuga,70.87606947683432,56.31671577501599,0.161,3,"['0161_T2', '0161_T3', '0161_T0']",4,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[93, 97, 208, 210]",0161_T3,0.141,Tile_1_1,210,0.115
P09,61,61,Baikiaea plurijuga,68.17493050523332,48.90697568132186,0.32799999999999996,1,['0160_T0'],2,"['Tile_1_1', 'Tile_1_1']","[80, 90]",0160_T0,0.315,Tile_1_1,90,0.194
P09,62,62,Baikiaea plurijuga,70.20608279671544,48.56871488133617,0.258,1,['0160_T0'],2,"['Tile_1_1', 'Tile_1_1']","[90, 91]",0160_T0,0.315,Tile_1_1,91,0.139
P09,62,63,Baikiaea plurijuga,70.51908405376092,48.3196562274252,0.221,1,['0160_T0'],2,"['Tile_1_1', 'Tile_1_1']","[90, 91]",,,Tile_1_1,90,0.194
P09,65,65,Baikiaea plurijuga,66.24251748144283,43.74815993490439,0.254,2,"['0146_T3', '0146_T1']",3,"['Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[80, 87, 90]",0146_T3,0.15,Tile_1_1,87,0.221
P09,66,66,Baikiaea plurijuga,61.86981697030553,44.27550255588213,0.264,2,"['0146_T1', '0146_T0']",1,['Tile_1_1'],[80],0146_T1,0.309,Tile_1_1,80,0.268
P09,68,68,Baikiaea plurijuga,73.38405231952115,45.65658340900906,0.228,2,"['0147_T0', '0160_T0']",2,"['Tile_1_1', 'Tile_2_1']","[91, 5]",0147_T0,0.278,Tile_2_1,5,0.242
P09,69,69,Baikiaea plurijuga,77.1114519818132,41.66828906711992,0.276,2,"['0147_T0', '0132_T1']",3,"['Tile_2_1', 'Tile_2_1', 'Tile_2_1']","[5, 13, 16]",0147_T0,0.278,Tile_2_1,5,0.242
P09,70,70,Baikiaea plurijuga,79.30250600517599,45.86731065157335,0.251,2,"['0147_T0', '0148_T1']",3,"['Tile_2_1', 'Tile_2_1', 'Tile_2_1']","[5, 13, 25]",0147_T0,0.278,Tile_2_1,13,0.226
P09,73,76,Baphia massaiensis subsp. obovata,71.2334456866952,27.214571829171984,0.10800000000000001,1,['0113_T0'],2,"['Tile_1_1', 'Tile_1_1']","[199, 202]",0113_T0,0.054,Tile_1_1,202,0.066
P09,80,80,Baphia massaiensis subsp. obovata,54.57005631130183,25.866849853382107,0.084,0,[],4,"['Tile_1_0', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[67, 71, 176, 232]",,,Tile_1_1,176,0.098
P09,80,81,Baphia massaiensis subsp. obovata,54.78798263347394,26.1407259532969,0.096,0,[],6,"['Tile_1_0', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[67, 63, 71, 174, 176, 232]",,,Tile_1_1,232,0.1
P09,82,82,Baikiaea plurijuga,59.98920004175721,23.522818874775798,0.237,0,[],4,"['Tile_1_0', 'Tile_1_0', 'Tile_1_0', 'Tile_1_1']","[106, 233, 267, 63]",,,Tile_1_0,106,0.185
P09,82,83,Baikiaea plurijuga,59.87173615097789,23.053988165070272,0.304,0,[],4,"['Tile_1_0', 'Tile_1_0', 'Tile_1_0', 'Tile_1_0']","[78, 106, 233, 267]",,,Tile_1_0,267,0.252
P09,85,85,Baphia massaiensis subsp. obovata,58.65465940208323,14.29722939328148,0.076,0,[],6,"['Tile_1_0', 'Tile_1_0', 'Tile_1_0', 'Tile_1_0', 'Tile_1_0', 'Tile_1_0']","[80, 90, 109, 227, 228, 264]",,,Tile_1_0,109,0.1
P09,87,87,Baikiaea plurijuga,62.629394554585126,5.319814371825367,0.248,0,[],6,"['Tile_1_0', 'Tile_1_0', 'Tile_1_0', 'Tile_1_0', 'Tile_1_0', 'Tile_1_0']","[98, 108, 117, 277, 279, 280]",,,Tile_1_0,117,0.202
P09,88,88,Baphia massaiensis subsp. obovata,56.93849476080808,10.052599971996637,0.064,0,[],3,"['Tile_1_0', 'Tile_1_0', 'Tile_1_0']","[80, 225, 227]",,,Tile_1_0,80,0.056
