plot_id,rct_tile_best,rct_tree_id_best,rct_dbh_best,cstart,suitability
p14,1_1,78,0.134,,
p14,1_1,78,0.134,,
p14,1_1,166,0.129,,
p14,1_1,89,0.126,,
p14,1_1,81,0.123,,
p14,1_1,81,0.123,,
p14,1_1,163,0.122,,
p14,1_1,163,0.122,,
p14,1_1,69,0.117,,
p14,1_1,60,0.107,,
p14,1_1,60,0.107,,
p14,1_1,137,0.162,,
p14,1_1,85,0.142,,
p14,1_1,45,0.139,,
p14,1_1,78,0.134,,
p14,1_1,81,0.123,,
p14,1_1,92,0.114,,
p14,1_1,63,0.114,,
p14,1_1,40,0.112,,
p14,1_1,64,0.11,,
p14,1_1,60,0.107,,
p14,1_1,53,0.291,4,good
p14,1_1,77,0.212,3,good
p14,1_1,138,0.188,4.8,good
p14,1_1,47,0.178,4.3,good
p14,1_1,49,0.173,,
p14,1_1,25,0.16,3,good
p14,1_1,142,0.156,3.8,good
p14,1_1,134,0.146,6.3,good
p14,1_1,83,0.141,5.7,
p14,1_1,166,0.129,5.7,good
p14,1_1,29,0.128,2.2,good
p14,1_1,89,0.126,3,good
p14,1_1,70,0.126,4.7,good
p14,1_1,163,0.122,4,good
p14,1_1,91,0.118,4.8,good
p14,1_1,13,0.118,2.8,good
p14,1_1,69,0.117,,
p14,1_1,164,0.114,2.8,good
p14,1_1,152,0.109,4.5,good
p14,1_1,67,0.082,,
p14,1_1,75,0.07,,
p14,1_1,75,0.07,,
p14,1_1,41,0.047,,
p14,1_1,87,0.043,,
p14,1_1,118,0.04,,
p14,-1_1,13,0.099,,
p14,1_2,74,0.21,,
p14,1_2,66,0.199,,
p14,1_2,70,0.144,,
p14,1_2,70,0.144,,
p14,1_2,7,0.101,,
p14,1_2,5,0.1,,
p14,1_2,66,0.199,,
p14,1_2,37,0.191,,
p14,1_2,70,0.144,,
p14,1_2,155,0.104,,
p14,1_2,155,0.104,,
p14,1_2,5,0.1,,
p14,1_2,3,0.251,2.4,good
p14,1_2,74,0.21,5,good
p14,1_2,83,0.157,2.3,good
p14,1_2,136,0.153,4.5,good
p14,1_2,13,0.149,2.3,good
p14,1_2,154,0.106,4.5,good
p14,1_2,7,0.101,1.5,
p14,1_2,59,0.1,1.5,good
p14,1_2,55,0.099,,
p14,1_2,55,0.099,,
p14,1_2,32,0.091,,
p14,1_2,42,0.087,,
p14,1_2,116,0.085,,
p14,1_2,54,0.076,,
p14,1_2,51,0.061,,
p14,-1_2,54,0.242,,
p14,1_3,19,0.087,,
p14,2_1,11,0.281,,
p14,2_1,15,0.183,,
p14,2_1,16,0.114,,
p14,2_1,11,0.281,,
p14,2_1,4,0.186,,
p14,2_1,16,0.114,,
p14,2_1,46,0.217,6.3,good
p14,2_1,15,0.183,4,
p14,2_1,2,0.145,3.3,good
p14,2_1,5,0.137,4.8,good
