plot_id,rct_tile_best,rct_tree_id_best,rct_dbh_best,cstart,suitability
p02,-1_1,105,0.135,5,good
p02,-1_1,226,0.134,4,good
p02,-1_1,247,0.132,3,good
p02,-1_1,45,0.127,3,good
p02,-1_1,171,0.119,6,good
p02,-1_1,101,0.104,7,good
p02,-1_1,94,0.102,6,good
p02,-1_1,116,0.101,3,
p02,-1_1,231,0.1,8,good
p02,-1_1,248,0.099,,
p02,-1_1,265,0.087,,
p02,-1_1,267,0.078,,
p02,-1_1,267,0.078,,
p02,-1_1,235,0.067,,
p02,-1_1,108,0.058,,
p02,-1_1,139,0.056,,
p02,-1_1,73,0.052,,
p02,-1_1,192,0.052,,
p02,-1_1,76,0.035,,
p02,-1_1,76,0.035,,
p02,-1_1,76,0.035,,
p02,1_2,85,0.243,,
p02,1_2,44,0.152,,
p02,1_2,44,0.152,,
p02,1_2,20,0.122,,
p02,1_2,321,0.213,,
p02,1_2,120,0.111,,
p02,1_2,119,0.344,5.2,good
p02,1_2,48,0.329,7.5,good
p02,1_2,85,0.243,9,good
p02,1_2,44,0.152,5,good
p02,1_2,25,0.123,4.9,good
p02,1_2,20,0.122,4,good
p02,1_2,14,0.098,,
p02,1_2,46,0.089,,
p02,1_2,43,0.062,,
p02,1_2,63,0.052,,
p02,1_2,63,0.052,,
p02,1_2,63,0.052,,
p02,1_2,63,0.052,,
p02,1_2,63,0.052,,
p02,-1_2,109,0.248,,
p02,-1_2,79,0.141,,
p02,-1_2,79,0.141,,
p02,-1_2,260,0.141,,
p02,-1_2,40,0.131,,
p02,-1_2,249,0.108,,
p02,-1_2,249,0.108,,
p02,-1_2,249,0.108,,
p02,-1_2,249,0.108,,
p02,-1_2,249,0.108,,
p02,-1_2,249,0.108,,
p02,-1_2,152,0.115,,
p02,-1_2,109,0.248,7,good
p02,-1_2,71,0.16,3.8,good
p02,-1_2,79,0.141,5.9,good
p02,-1_2,97,0.141,4,good
p02,-1_2,260,0.141,4,good
p02,-1_2,99,0.136,5,good
p02,-1_2,55,0.133,6.6,good
p02,-1_2,40,0.131,,
p02,-1_2,288,0.124,5.5,good
p02,-1_2,249,0.108,5.8,good
p02,-1_2,246,0.107,4.2,good
p02,-1_2,72,0.104,4,good
p02,-1_2,42,0.098,,
p02,-1_2,42,0.098,,
p02,-1_2,42,0.098,,
p02,-1_2,156,0.08,,
p02,-1_2,56,0.071,,
p02,-1_2,56,0.071,,
p02,-1_2,56,0.071,,
p02,-1_2,177,0.069,,
p02,-1_2,132,0.057,,
p02,-1_2,132,0.057,,
p09,0_0,47,0.323,,
p09,0_0,49,0.275,,
p09,0_0,104,0.251,,
p09,0_0,94,0.131,,
p09,0_0,43,0.249,,
p09,0_0,59,0.45,5,good
p09,0_0,58,0.335,7,good
p09,0_0,47,0.323,6,good
p09,0_0,49,0.275,4,good
p09,0_0,44,0.219,6,good
p09,0_0,89,0.12,,
p09,1_0,58,0.234,,
p09,1_0,117,0.202,,
p09,1_0,12,0.389,,
p09,1_0,107,0.284,,
p09,1_0,160,0.275,,
p09,1_0,136,0.268,,
p09,1_0,38,0.26,,
p09,1_0,211,0.254,,
p09,1_0,269,0.211,,
p09,1_0,36,0.202,,
p09,1_0,126,0.187,,
p09,1_0,106,0.185,,
p09,1_0,116,0.175,,
