plot_id,census_tree_id,census_stem_id,census_species,census_x_rot_m,census_y_rot_m,census_dbh_m,t2t_matches,t2t_tree_id,rct_matches,rct_tile,rct_tree_id,t2t_tree_id_best,t2t_dbh_best,rct_tile_best,rct_tree_id_best,rct_dbh_best,,cstart,suitability
p02,220,221,Julbernardia paniculata,-10.45556791,41.89279973,0.271,2,"['0046_T0', '0033_T0']",6,"['Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1']","[47, 55, 56, 72, 73, 86]",0046_T0,0.263,0_1,73,0.249,,,
p02,222,222,Burkea africana,-7.678042379,40.06024634,0.421,2,"['0046_T0', '0033_T0']",1,['Tile_0_1'],[73],0046_T0,0.263,0_1,73,0.249,,,
p02,329,329,Philenoptera nelsii,-10.74042202,38.36592319,0.389,2,"['0046_T0', '0033_T0']",1,['Tile_0_1'],[73],0033_T0,0.319,0_1,73,0.249,,4.8,good
p02,207,207,Combretum collinum,-4.243989796,62.74371571,0.067,0,[],1,['Tile_0_1'],[101],,,0_1,101,0.085,,,
p02,209,209,Combretum collinum,-7.903967921,59.92721786,0.071,0,[],1,['Tile_0_1'],[101],,,0_1,101,0.085,,,
p02,208,208,Burkea africana,-4.35563465,61.38948699,0.362,0,[],1,['Tile_0_1'],[102],,,0_1,102,0.275,,8,good
p02,390,390,Combretum collinum,-5.79112835,26.06330183,0.055,0,[],2,"['Tile_0_0', 'Tile_0_1']","[56, 114]",,,0_1,114,0.051,,,
p02,453,453,Terminalia brachystemma,-3.048219061,26.68784057,0.055,0,[],2,"['Tile_0_0', 'Tile_0_1']","[56, 114]",,,0_1,114,0.051,,,
p02,398,398,Combretum collinum,-0.320136935,43.14401473,0.058,0,[],1,['Tile_0_1'],[129],,,0_1,129,0.068,,,
p02,427,427,Terminalia brachystemma,5.262311212,43.46209127,0.052,0,[],1,['Tile_0_1'],[129],,,0_1,129,0.068,,,
p02,432,432,Combretum collinum,0.930582107,27.77169539,0.051,0,[],3,"['Tile_0_0', 'Tile_0_1', 'Tile_0_1']","[56, 114, 134]",,,0_1,134,0.028,,,
p02,238,238,Philenoptera nelsii,5.184575219,33.18958636,0.302,0,[],2,"['Tile_0_1', 'Tile_0_1']","[150, 176]",,,0_1,150,0.358,,4.3,good
p02,147,147,Burkea africana,5.640605811,74.88940094,0.46,0,[],1,['Tile_0_1'],[158],,,0_1,158,0.33,,9,good
p02,234,234,Philenoptera nelsii,7.658465294,39.21058029,0.211,0,[],7,"['Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1']","[165, 173, 176, 190, 471, 474, 475]",,,0_1,165,0.215,,2.8,good
p02,229,229,Terminalia brachystemma,8.209198919,47.53894702,0.067,1,['0049_T0'],4,"['Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1']","[136, 171, 179, 498]",0049_T0,0.094,0_1,171,0.08,,,
p02,232,232,Terminalia brachystemma,10.00300958,44.48667848,0.059,0,[],3,"['Tile_0_1', 'Tile_0_1', 'Tile_0_1']","[171, 204, 498]",,,0_1,171,0.08,,,
p02,233,233,Terminalia brachystemma,9.338190875,44.32261726,0.06,0,[],3,"['Tile_0_1', 'Tile_0_1', 'Tile_0_1']","[171, 204, 498]",,,0_1,171,0.08,,,
p02,238,239,Philenoptera nelsii,4.875889349,33.08182258,0.207,0,[],3,"['Tile_0_1', 'Tile_0_1', 'Tile_0_1']","[173, 176, 471]",,,0_1,176,0.209,,4.3,good
p02,231,231,Terminalia brachystemma,10.62772062,45.57944383,0.079,1,['0049_T0'],6,"['Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1']","[171, 178, 179, 204, 206, 498]",0049_T0,0.094,0_1,179,0.09,,,
p02,149,149,Combretum collinum,7.246507679,61.63987343,0.05,0,[],1,['Tile_0_1'],[185],,,0_1,185,0.051,,,
p02,244,244,Combretum collinum,11.53810773,33.67448288,0.077,0,[],4,"['Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1']","[201, 209, 469, 542]",,,0_1,201,0.098,,,
p02,237,430,Combretum collinum,11.98255475,35.72995529,0.058,1,['0036_T0'],1,['Tile_0_1'],[209],,,0_1,209,0.073,,,
p02,443,443,Philenoptera nelsii,17.78172589,39.98813731,0.055,0,[],2,"['Tile_0_1', 'Tile_0_1']","[209, 234]",,,0_1,234,0.08,,,
p02,153,153,Combretum collinum,18.59315308,61.87233448,0.129,0,[],5,"['Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1']","[236, 244, 533, 570, 588]",,,0_1,236,0.12,,2.1,good
p02,168,168,Philenoptera nelsii,26.01022929,41.50791746,0.207,2,"['0037_T2', '0037_T0']",4,"['Tile_0_1', 'Tile_0_1', 'Tile_1_1', 'Tile_1_1']","[249, 256, 10, 37]",0037_T2,0.202,0_1,249,0.17,,3,good
