country,date,plot_id,tile_coords,tree_id,theta,total_vv,total_hh,gnd_crown_gnd_vv,gnd_crown_gnd_hh,crown_ground_vv,crown_ground_hh,ground_crown_vv,ground_crown_hh,direct_crown_vv,direct_crown_hh,trunk_ground_vv,trunk_ground_hh,ground_trunk_vv,ground_trunk_hh,direct_ground_vv,direct_ground_hh,total_vh,total_hv,gnd_crown_gnd_vh,gnd_crown_gnd_hv,crown_ground_vh,crown_ground_hv,ground_crown_vh,ground_crown_hv,direct_crown_vh,direct_crown_hv,trunk_ground_vh,trunk_ground_hv,ground_trunk_vh,ground_trunk_hv,direct_ground_vh,direct_ground_hv,height,total_tree_vol_m3,total_tree_sa_m2,trunk_vol_m3,trunk_sa_m2,trunk_diameter,trunk_length,crown_vol_m3,crown_sa_m2,crown_radius,crown_thickness,cstart,leaf_density,census_species,wood_density,angle,rms_height,correlation_length,percent_sand,percent_clay,trunk_moisture,trunk_dry_density,branch_1_moisture,branch_1_dry_density,branch_1_length,branch_1_diameter,branch_1_density,branch_1_pdf,branch_2_moisture,branch_2_dry_density,branch_2_length,branch_2_diameter,branch_2_density,branch_2_pdf,branch_3_moisture,branch_3_dry_density,branch_3_length,branch_3_diameter,branch_3_density,branch_3_pdf,branch_4_moisture,branch_4_dry_density,branch_4_length,branch_4_diameter,branch_4_density,branch_4_pdf,branch_5_moisture,branch_5_dry_density,branch_5_length,branch_5_diameter,branch_5_density,branch_5_pdf,tree_sa_to_volume_ratio,trunk_to_tree_volume_ratio,canopy_to_tree_volume_ratio,order_0_to_tree_volume_ratio,order_0_sa_to_volume_ratio,order_1_to_tree_volume_ratio,order_1_sa_to_volume_ratio,order_2_to_tree_volume_ratio,order_2_sa_to_volume_ratio,order_3_to_tree_volume_ratio,order_3_sa_to_volume_ratio,order_4_to_tree_volume_ratio,order_4_sa_to_volume_ratio,order_5_to_tree_volume_ratio,order_5_sa_to_volume_ratio,frequency,canopy_density,soil_moisture,run
Angola,2024-02-26,P09,Tile_0_0,44,30.0,-10.76,-11.04,-30.84,-32.97,-23.97,-16.93,-23.97,-16.93,-11.59,-16.14,-28.41,-23.31,-28.41,-23.31,-25.35,-23.98,-16.0,-16.0,-35.39,-35.39,-24.93,-26.15,-26.15,-24.93,-17.35,-17.35,-34.44,-33.51,-33.51,-34.44,-166.47,-167.28,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,0.43,0.0119,0.5,10
Angola,2024-02-26,P09,Tile_0_0,44,30.0,-10.57,-10.53,-28.95,-31.54,-23.02,-16.22,-23.02,-16.22,-11.59,-16.14,-27.47,-22.6,-27.47,-22.6,-24.4,-23.27,-15.75,-15.75,-33.73,-33.73,-24.22,-25.2,-25.2,-24.22,-17.35,-17.35,-33.49,-32.79,-32.79,-33.49,-165.75,-166.33,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,0.43,0.0119,0.75,11
Angola,2024-02-26,P09,Tile_0_0,44,30.0,-11.5,-9.97,-39.41,-35.83,-30.53,-20.71,-30.53,-20.71,-11.91,-11.4,-29.44,-24.09,-29.44,-24.09,-26.5,-24.88,-18.69,-18.69,-45.23,-45.23,-30.14,-31.68,-31.68,-30.14,-19.27,-19.27,-53.24,-51.83,-51.83,-53.24,-167.22,-168.58,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,1.2,0.0119,0.25,12
Angola,2024-02-26,P09,Tile_0_0,44,30.0,-11.23,-9.42,-34.94,-32.45,-28.29,-19.02,-28.29,-19.02,-11.91,-11.4,-27.2,-22.4,-27.2,-22.4,-24.27,-23.2,-18.39,-18.39,-41.31,-41.31,-28.45,-29.44,-29.44,-28.45,-19.27,-19.27,-51.0,-50.14,-50.14,-51.0,-165.53,-166.34,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,1.2,0.0119,0.5,13
Angola,2024-02-26,P09,Tile_0_0,44,30.0,-11.08,-9.14,-33.04,-31.02,-27.34,-18.3,-27.34,-18.3,-11.91,-11.4,-26.25,-21.68,-26.25,-21.68,-23.32,-22.48,-18.22,-18.22,-39.65,-39.65,-27.74,-28.49,-28.49,-27.74,-19.27,-19.27,-50.05,-49.43,-49.43,-50.05,-164.82,-165.39,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,1.2,0.0119,0.75,14
Angola,2024-02-26,P09,Tile_0_0,44,30.0,7.23,7.24,-118.76,-115.95,-70.34,-64.18,-70.34,-64.18,7.23,7.24,-86.46,-79.87,-86.46,-79.87,-67.36,-65.94,-2.29,-2.29,-126.88,-126.88,-73.75,-75.15,-75.15,-73.75,-2.29,-2.29,-122.31,-120.92,-120.92,-122.31,-208.17,-209.54,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,5.4,0.0119,0.25,15
Angola,2024-02-26,P09,Tile_0_0,44,30.0,7.23,7.24,-114.38,-112.64,-68.15,-62.53,-68.15,-62.53,7.23,7.24,-84.27,-78.21,-84.27,-78.21,-65.17,-64.29,-2.29,-2.29,-123.03,-123.03,-72.09,-72.96,-72.96,-72.09,-2.29,-2.29,-120.12,-119.27,-119.27,-120.12,-206.51,-207.35,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,5.4,0.0119,0.5,16
Angola,2024-02-26,P09,Tile_0_0,44,30.0,7.23,7.24,-112.47,-111.2,-67.19,-61.81,-67.19,-61.81,7.23,7.24,-83.32,-77.49,-83.32,-77.49,-64.22,-63.57,-2.29,-2.29,-121.36,-121.36,-71.37,-72.01,-72.01,-71.37,-2.29,-2.29,-119.16,-118.55,-118.55,-119.16,-205.8,-206.4,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,5.4,0.0119,0.75,17
Angola,2024-02-26,P09,Tile_0_0,47,30.0,-11.89,-9.25,-35.14,-34.19,-23.26,-16.3,-23.26,-16.3,-13.8,-17.08,-23.05,-16.39,-23.05,-16.39,-24.66,-22.13,-16.31,-16.31,-38.34,-38.34,-22.12,-24.23,-24.23,-22.12,-19.12,-19.12,-33.62,-32.1,-32.1,-33.62,-164.92,-166.28,12.809,1.057,49.362,0.46,8.425,32.28,20.544,0.596,40.938,10.745,10.038,2.084,480.349,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,11.759,14.088,0.0089,17,0.5,0.76,5.477,5.855,0.0397,18,0.5,0.76,2.867,3.572,0.0656,14,0.5,0.76,1.767,1.991,0.0528,14,0.5,0.76,0.867,1.012,0.0193,14,46.717,0.436,0.564,0.436,18.305,0.358,39.895,0.144,92.452,0.051,155.758,0.011,262.512,0.001,446.982,0.43,0.0119,0.25,18
Angola,2024-02-26,P09,Tile_0_0,47,30.0,-10.94,-7.79,-30.67,-30.81,-21.03,-14.61,-21.03,-14.61,-13.8,-17.08,-20.82,-14.7,-20.82,-14.7,-22.42,-20.45,-15.28,-15.28,-34.42,-34.42,-20.43,-21.99,-21.99,-20.43,-19.12,-19.12,-31.39,-30.41,-30.41,-31.39,-163.24,-164.04,12.809,1.057,49.362,0.46,8.425,32.28,20.544,0.596,40.938,10.745,10.038,2.084,480.349,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,11.759,14.088,0.0089,17,0.5,0.76,5.477,5.855,0.0397,18,0.5,0.76,2.867,3.572,0.0656,14,0.5,0.76,1.767,1.991,0.0528,14,0.5,0.76,0.867,1.012,0.0193,14,46.717,0.436,0.564,0.436,18.305,0.358,39.895,0.144,92.452,0.051,155.758,0.011,262.512,0.001,446.982,0.43,0.0119,0.5,19
